GPSTimeOfFixUTC,Latitude,Longitude,WindSpeed,WindDirection,Temperature,Pressure,Speed m_per_s
2023-04-11 15:00:03.800,40.350213333333336,-74.64962666666666,1.0,298.8,18.6,1023.09953319,0.01543332
2023-04-11 15:00:04.800,40.35021,-74.64962666666666,1.1,299.4,18.6,1023.20112489,0.01028888
2023-04-11 15:00:05.800,40.350208333333335,-74.649625,1.1,301.8,18.6,1023.20112489,0.00514444
2023-04-11 15:00:06.800,40.350205,-74.649625,1.2,305.9,18.6,1023.20112489,0.0
2023-04-11 15:00:07.800,40.35020166666666,-74.649625,1.1,293.1,18.6,1023.09953319,0.00514444
2023-04-11 15:00:08.800,40.3502,-74.64962333333334,1.1,316.2,18.6,1023.09953319,0.01028888
2023-04-11 15:00:09.800,40.35019833333333,-74.64962333333334,1.0,307.4,18.6,1023.09953319,0.01543332
2023-04-11 15:00:10.800,40.350195,-74.64962166666666,0.9,308.5,18.6,1023.00132788,0.00514444
2023-04-11 15:00:11.800,40.35019333333334,-74.64962166666666,0.8,313.2,18.6,1022.89973618,0.0
2023-04-11 15:00:12.800,40.35019,-74.64962,0.8,348.3,18.6,1022.89973618,0.0
2023-04-11 15:00:13.800,40.350188333333335,-74.64961833333334,0.5,304.7,18.6,1022.80153087,0.00514444
2023-04-11 15:00:14.800,40.350186666666666,-74.64961833333334,0.5,316.2,18.6,1022.80153087,0.01028888
2023-04-11 15:00:15.800,40.350185,-74.64961666666666,0.5,340.3,18.6,1022.60173386,0.01543332
2023-04-11 15:00:16.800,40.350185,-74.64961666666666,0.6,355.4,18.6,1022.60173386,0.01028888
2023-04-11 15:00:17.800,40.350185,-74.64961666666666,0.8,10.6,18.6,1022.50014216,0.00514444
2023-04-11 15:00:18.800,40.350185,-74.649615,0.9,0.6,18.6,1022.60173386,0.0
2023-04-11 15:00:19.800,40.350185,-74.649615,1.2,342.6,18.6,1022.50014216,0.01028888
2023-04-11 15:00:20.800,40.350186666666666,-74.649615,1.1,337.7,18.6,1022.50014216,0.01543332
2023-04-11 15:00:21.800,40.350186666666666,-74.64961333333333,1.5,346.1,18.5,1022.40193685,0.02057776
2023-04-11 15:00:22.800,40.350188333333335,-74.64961333333333,1.5,347.9,18.5,1022.30034515,0.01543332
2023-04-11 15:00:23.800,40.35019,-74.649615,0.9,319.6,18.5,1022.40193685,0.01028888
2023-04-11 15:00:24.800,40.35019,-74.649615,0.8,313.4,18.5,1022.50014216,0.01028888
2023-04-11 15:00:25.800,40.35019166666667,-74.649615,0.8,313.3,18.5,1022.60173386,0.01028888
2023-04-11 15:00:26.800,40.35019333333334,-74.64961666666666,0.8,322.7,18.5,1022.60173386,0.01028888
2023-04-11 15:00:27.800,40.350195,-74.64961833333334,0.8,316.2,18.5,1022.69993917,0.01028888
2023-04-11 15:00:28.800,40.35019666666667,-74.64961833333334,1.0,316.3,18.5,1022.80153087,0.01028888
2023-04-11 15:00:29.800,40.3502,-74.64962,1.2,301.1,18.5,1022.80153087,0.00514444
2023-04-11 15:00:30.800,40.35020166666666,-74.64962166666666,1.5,298.7,18.5,1022.89973618,0.00514444
2023-04-11 15:00:31.800,40.35020333333333,-74.64962166666666,1.6,291.2,18.5,1022.89973618,0.01028888
2023-04-11 15:00:32.800,40.350205,-74.64962166666666,1.3,301.7,18.5,1022.89973618,0.01028888
2023-04-11 15:00:33.800,40.350206666666665,-74.64962166666666,1.3,298.9,18.5,1022.89973618,0.01028888
2023-04-11 15:00:34.800,40.350206666666665,-74.64962333333334,1.2,294.9,18.5,1022.89973618,0.01028888
2023-04-11 15:00:35.800,40.350208333333335,-74.64962333333334,1.3,291.1,18.5,1022.89973618,0.00514444
2023-04-11 15:00:36.800,40.350208333333335,-74.649625,1.5,281.8,18.5,1022.89973618,0.0
